lawyer_name,title,firm_name,location,lawyer_about,languages,practice_areas,years_experience,join_date,connected,source
Talya Faigenbaum,Special Counsel  ,KWS Legal,"VIC, Australia",,English,,,"June 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-talya-faigenbaum
Jeannette Fahd,Principal Solicitor  ,Just Defence Criminal Defence Lawyers,"NSW, Australia",,English,,,"August 6th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-jeannette-fahd
Ehsan Fallahi,Principal  ,MistryFallahi Lawyers & Business Advisors,"NSW, Australia",,English,,5,"March 14th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ehsan-fallahi
Maggie Elamrousy,Principal Solicitor  ,Elamrousy Solicitors,"NSW, Australia",,"English, Italian, Cantonese, Other",,,"March 14th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-maggie-elamrousy
Jeffrey Ehrenpreis,Immigration Lawyer  ,Ehrenpreis Immigration Law Corporation,"USA, United States, Australia",,English,,35,"March 19th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-jeffrey-ehrenpreis
Maggie Elamrousy,,,,,"English, Mandarin, Italian, Cantonese, Vietnamese, Other",,10,"November 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-maggie-elamrousy--2
Katrina Bristow,Senior Family Law Solicitor  ,McKean Park,"VIC, Australia",,English,,33,"October 11th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-katrina-bristow
Phillip Briffa,Director  ,PB Ritz Lawyers - Experts in Estate Planning,"NSW, Australia",,English,,,"August 2nd, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-phillip-briffa
Selwyn Goldberg,  ,Wilson Sonsini Goodrich & Rosarti,"USA, USA, Australia",,English,,,"May 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-selwyn-goldberg
Peter Gauld,Principal  ,Gauld & Co. Elder Law Solicitors,"VIC, Victoria,  Australia",,English,,30,"September 19th, 2013",19,https:/lawpath.com.au/lawyer-network/lawyer-peter-gauld
Mark Finn,Senior Lawyer  ,McKean Park,"VIC, Australia",,English,,25,"October 11th, 2013",12,https:/lawpath.com.au/lawyer-network/lawyer-mark-finn
Peter Gell,Director  ,PGG Legal,"NSW, Australia"," ""Peter practices in the areas of taxation (with emphasis on the GST and capital gains tax), tax effective Estate planning and wills, business structuring, reorganisations and reconstructions, complex negotiations and dispute resolution, shareholder arrangements and joint ventures and legal relationship management. Peter has a Master’s degree in taxation conferred by the University of New South Wales and is a Chartered taxation advisor""",English,,30,"July 3rd, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-peter-gell
Mark Flynn,Partner  ,McKean Park,"VIC, Australia",,English,,31,"October 14th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-mark-flynn
Samuel F. Galici,Senior Attorney  ,Law Offices of Samuel F. Galici,"California,  USA",,English,,40,"September 13th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-samuel-f-galici
Ian Field,Partner  ,Aylward Game Solicitors,"QLD, Australia"," ""Ian is an Accredited Specialist in Family Law. Ian also undertakes estate planning and will preparation, and the firm also undertakes a range of property law work as well as business and commercial work.""",English,,"7,6","September 13th, 2013",50,https:/lawpath.com.au/lawyer-network/lawyer-ian-field
Raymond Finch,Principal  ,Raymond Finch,"NSW, Australia",,English,,"4,4","October 2nd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-raymond-finch
Elias Farah,Partner  ,Commercial & Legal,"SA, Australia",,English,,10,"July 29th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-elias-farah
Richard Faulks,Managing Director  ,Snedden Hall & Gallop,"ACT, Australia",,English,,53,"November 15th, 2013",8,https:/lawpath.com.au/lawyer-network/lawyer-richard-faulks
Ehsan Fallahi,Principal  ,MistryFallahi Lawyers & Business Advisors,"NSW, Australia",,English,,,"May 19th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-ehsan-fallahi--2
Mark Gardiner,Executive Director  ,Teddington Legal,"NSW, Australia",,English,,10,"April 5th, 2013",7,https:/lawpath.com.au/lawyer-network/lawyer-mark-gardiner
Fay Frischer,Principal  ,Fay Frischer,"NSW, Australia",,English,,,"May 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-fay-frischer
Evelyn Gardis,Senior Associate  ,Taylor & Scott Lawyers ,"NSW, nsw,  australia",,"English, Italian, Greek, Other",,"10,4","July 25th, 2013",6,https:/lawpath.com.au/lawyer-network/lawyer-evelyn-gardis
John Howard,  ,Thomsons lawyers,"NSW, Australia",,English,,,"February 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-john-howard
Ernie Hu,Migration Agent & Lawyer  ,This is Australia,"QLD, Australia ",,English,,10,"March 27th, 2013",28,https:/lawpath.com.au/lawyer-network/lawyer-ernie-hu
Kristine Hopkins,Principal  ,Hopkins Lawyers,"NSW, Australia",,English,,10,"September 17th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-kristine-hopkins
Kenneth Hong,Senior Associate  ,Yukio Hayashi & Associates,"NSW, Australia",,English,,8,"May 6th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-kenneth-hong
David Homes,Lawyer  ,Teare Lawyers,"NT, Australia",,English,,,"August 7th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-david-homes
Ebony Holland Harris,  ,Ebony holland-Harris ,"SA, Australia",,English,,,"August 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-ebony-holland-harris
Kim Hodge,Legal Practise Director  ,Hodge & Smith,"WA, Australia"," ""Kim is a Solicitor and a Human Resources Consultant who is passionate about helping people in a professional and productive way. Kim’s qualifications include a Bachelor of Economics from the University of Western Australia and a Bachelor of Laws from Murdoch University.  He commenced his career in industrial relations and workplace relations in 1995 and has held his legal practicing certificate since 2002.  """,English,,12,"September 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-kim-hodge
Vincent Holland,Lawyer/Director  ,Forty Seven Legal Pty Ltd,"WA, Australia"," ""I am a lawyer and director at Forty Seven Legal and specialise in wills and estates, tax, disputes, superannuation, business law and philanthropy. I go the extra mile for every client, ensuring they get the best outcome and value for money. """,English,,,"July 17th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-vincent-holland
Abraham Ishkhanian,Principal Director  ,Harbourside Legal Services,"NSW, Australia",,English,,4,"March 27th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-abraham-ishkhanian
Lucky Iyare Ehimudiamen,Lawyer  ,SVC LEGAL AUSTRALIA,"NSW, Australia",,"English, French, Vietnamese, Other",,,"September 25th, 2014",7,https:/lawpath.com.au/lawyer-network/lawyer-lucky-iyare-ehimudiamen
Mento Issac,Advocate  ,MENTO ASSOCIATES,"INDIA, India, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-mento-issac
Min Hur,Solicitor  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Commercial lawyer, experienced in representing overseas based multinational companies operating in Australia as well as providing commercial advice to Australian businesses and individuals. “I believe that listening and understanding the need of my clients is the most important aspect of being a good lawyer.”""","English, Other",,,"April 30th, 2014",6,https:/lawpath.com.au/lawyer-network/lawyer-min-hur
Susan Kirkby,Solicitor  ,Kirkby & Associates - Lawyers and Call Conveyancing Sydney,"NSW, Australia - NSW only",,English,,"36,35","September 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-susan-kirkby
Jeremy King,Partner  ,Robinson Gill,"VIC, Australia",,"English, Mandarin, Other",,,"November 13th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-jeremy-king
Anna King,  ,Quinn & Scattini,"QLD, Australia",,English,,,"October 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-anna-king
Antoinette Khalil,Solicitor  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Family Law Advocate, providing advice in Wills, Estates and Employment Law and Industrial Relations. “When it comes to doing business, language, listening and the promotion of a resolution becomes key factors. It is my job to establish the clients’ goals, and then to create the pathway to achieve them.”""","English, Other",,,"May 12th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-antoinette-khalil
Ryan Kim,Principal  ,Capax Legal,"NSW, Australia",,English,,7,"April 11th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ryan-kim
Sam Jazayeri,Registered Migration Agent  ,MacGregor O'Reilly Solicitors,"QLD, Australia",,"English, Other",,,"March 19th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-sam-jazayeri
Tamara Kay,Founder  ,Mindful Separation,"VIC, Australia",,English,,11,"February 27th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-tamara-kay
Michael Kely,Principal  ,Brisbane Legal Group,"QLD, Australia",,,,,"January 30th, 2014",5,https:/lawpath.com.au/lawyer-network/lawyer-michael-kely
Ibrahim Kakay,Lawyer & Migration Agent  ,KakayLegal &Able Migration Consultants,"WA, Australia, Sierra Leone",,"English, French, Other",,10,"June 21st, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-ibrahim-kakay
Will Justo,Partner  ,Wallace Wilkinson and Webster,"TAS, Australia",,English,,19,"August 29th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-will-justo
Damian J Ryall,Principal  ,Ryall Lawyers,"NSW, Australia",,English,,16,"July 17th, 2013",6,https:/lawpath.com.au/lawyer-network/lawyer-damian-j-ryall
Terry Ledlin,Partner  ,Ledlin Partners,"NSW, Australia",,English,,"38,1975","March 27th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-terry-ledlin
Michael Lee,Senior Associate  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Senior Associate with over twenty years experience in general commercial litigation, property and building disputes, insolvency, estates and family law settlements.

“Winning, seriously – this is important. Firstly by avoiding disputes with effective planning and drafting; and where required, to be the ultimate advocate for my client when there is no recourse but to take a stand.”""",English,,20,"April 29th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-michael-lee
Wally Joseph Kalouche,Solicitor / Director  ,CK LAWYERS,"NSW, Australia",,English,,16,"July 16th, 2013",8,https:/lawpath.com.au/lawyer-network/lawyer-wally-joseph-kalouche
Annette Lakey,Associate   ,Hall Payne Lawyers,"QLD, Australa , Australia",,English,,15,"September 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-annette-lakey
Marwan Kojok,Managing Partner  ,Baybridge Lawyers,"NSW, Australia"," ""Marwan Kojok is the Founder of Baybridge Lawyers and is a leading authority in the franchising, licensing and distribution sectors. Marwan has a wealth of commercial, corporate and franchise experience, highly valued by SMEs, publicly listed companies and large businesses, both in Australia and internationally. Marwan has worked in a diverse range of industries, assisting in the international protection of well-known brand names.""",English,,20,"November 13th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-marwan-kojok
Drazen Kozaric,Litigation Solicitor  ,NQ LEGAL,"QLD, Australia",,English,,3,"June 12th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-drazen-kozaric
Aaron Koffel,Associate Director  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Senior corporate lawyer with 9 years of experience in representing leading private and public companies based in Europe, Americas and Asia Pacific region. 

“I really believe in representing my clients’ interests. I love helping them succeed. I understand the fundamentals of finance, accounting, operations management, branding and corporate strategy, this helps me gear my legal advice to the issues relevant to the client.”""",English,,9,"April 30th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-aaron-koffel--2
Andrew Kleiman,Legal Practitioner Director  ,SME Property Lawyer,"NSW, New South Wales,  Australia"," ""SME Property Lawyer offers property, conveyancing and leasing legal services for small and medium sized businesses. We specialise in commercial, industrial and retail property such as offices, warehouses and shops. Our fees are advertised on our website so clients enjoy price certainty and transparency.""",English,,10,"July 4th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-andrew-kleiman
Noah Klug,Senior Lawyer  ,Nevett Ford Melbourne Pty Ltd,"VIC, Australia,  USA,  Italy"," ""I practice US immigration/visa law, Australian immigration/visa law, Australian employment/workplace relations law, and general Australian commercial law.  I have colleagues in my firm who practice litigation, property law, and family law.""",English,,6,"September 12th, 2013",42,https:/lawpath.com.au/lawyer-network/lawyer-noah-klug
Graham Lancaster,Director  Dispute Resolution  ,Access Law Group,"NSW, Australia",,English,,28,"June 6th, 2013",11,https:/lawpath.com.au/lawyer-network/lawyer-graham-lancaster
Melissa Lammers,Principal Solicitor  ,Shire Legal,"NSW, Australia",,English,,18,"April 26th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-melissa-lammers
Kay Lam Mac Leod,Principal  ,Idealaw,"QLD, Australia",,"English, Cantonese",,13,"May 16th, 2013",9,https:/lawpath.com.au/lawyer-network/lawyer-kay-lam-macleod
Michael Kuzilny,Barrister & Solicitor  ,Michael Kuzilny,"VIC, Australia",,,,,"April 12th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-michael-kuzilny
Bindu Kurup,Principal Lawyer  ,BK Lawyers and conveyancers,"VIC, Australia",,"English, Other",,10,"September 8th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-bindu-kurup
William Mulholland,Principal  ,william mulholland + co lawyers,"VIC, Australia"," ""We are a  firm of commercial and IP lawyers providing quality legal services to private clients, business, SME's, companies and charitable organisations.  We want to make the law less of a trial for you and your business with the aim of building an ongoing relationship with all of our clients and aim at helping you to understand all your rights and obligations, so we can help you make sense from the complexities and confusion of the law.""",English,,12,"February 11th, 2014",56,https:/lawpath.com.au/lawyer-network/lawyer-william-mulholland
Tsungai Mukushi,Principal  ,Mukushi Legal,"VIC, Australia",,"English, French, Other",,,"February 10th, 2014",17,https:/lawpath.com.au/lawyer-network/lawyer-tsungai-mukushi
John Morrissey,  ,John F. Morrissey & Company lawyers,"NSW, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-john-morrissey
Bianca Mueller,Ll.M.  ,Law Down Under,"New Zealand, New Zealand,  Australia,  Germany ",,English,,10,"April 29th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-bianca-mueller
Michael Montgomery,Partner  ,Truman Hoyle,"NSW, Australia",,English,,17,"March 15th, 2013",3,https:/lawpath.com.au/lawyer-network/lawyer-michael-montgomery
Daniel Morris,Senior Associate  ,HHG Legal Group,"WA, Australia",,English,,10,"August 1st, 2013",36,https:/lawpath.com.au/lawyer-network/lawyer-daniel-morris
Christine Monolakos,Lawyers  ,CM Lawyers,"NSW, Australia"," ""CM Lawyers are located in Marrickville, Sydney. Our solicitors carry out a range of services, including Will preparation & Advice, Power of attorney documents, Criminal Law, Family Law, Property Law and Debt Recovery.""","English, Greek",,,"August 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-christine-monolakos
Ali Mokhtar,Solicitor  ,Marsdens Law Group,"NSW, Australia",,"English, Other",,,"September 8th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-ali-mokhtar
Rebecca Kurien,,,,,English,,6,"April 29th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-rebecca-kurien
Catherine Leach,Managing Director  ,Leach Legal,"WA, Australia",,English,,18,"July 30th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-catherine-leach
Eric Kuenzi,Partner  ,ek | Law,"SUI, Switzerland, Australia",,English,,13,"March 8th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-eric-kuenzi
Tony Laumberg,Proprietor  ,Tony,"NSW, Australia",,English,,33,"August 12th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-tony-laumberg
Boutros Lawyers,Principal  ,Boutros Lawyers,"NSW, Australia",,,,,"April 12th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-boutros-lawyers
Michael Owens,Lawyer  ,Ferguson Cannon Lawyers,"QLD, Australia",,English,,,"February 5th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-michael-owens
Daniel Nash,Lawyer  ,MacGregor O'Reilly Solicitors,"QLD, Australia",,English,,11,"September 13th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-daniel-nash
Stephen Potts,Managing Director  ,Neumann & Turnour,"QLD, Australia"," ""Stephen is a family lawyer and Managing Director of Neumann & Turnour.  His practice focuses on family law disputes and resolution with extensive experience in complex property settlements involving private and publicly listed companies, trusts and partnerships.   Stephen advises clients in relation to children’s disputes and care arrangements, child support, child protection and specific issues such as interstate and international relocation, international child abduction and overseas travel.""",English,,10,"July 22nd, 2014",20,https:/lawpath.com.au/lawyer-network/lawyer-stephen-potts
Marlon Potts,Director  ,Guardianlaw Law,"NSW, QLD, Australia",,English,,,"January 6th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-marlon-potts
Petra Playfair,"Managing Partner, Registered Migration Agent  ",Playfair Visa and Migration Services,"NSW, Australia",,"English, Mandarin, Cantonese, Other",,,"January 24th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-petra-playfair
Ivan Poole,Principal  ,Ivan Poole Lawyers,"QLD, Australia"," ""Ivan Poole has over 25 years' experience in Franchise Law. His firm has become the Gold Coast's leaders for franchising and intellectual property law. 
Ivan is widely recognised in Australia and in New Zealand as a lawyer with an in depth legal knowledge and an appreciation and understanding of commercial practicalities. 

Ivan Poole Lawyers also handle general commercial matters such as merges and acquisitions, structuring and businesses' general legal needs.""",English,,48,"February 25th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-ivan-poole
Ash Platz,Marketing Manager  ,Ferguson Cannon Lawyers,"QLD, Australia",,English,,,"September 18th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-ash-platz
Vince Placanica,Lawyer  ,Placanica Lawyers,"NSW, Australia"," ""We are a highly specialised criminal law firm. We deal with major and minor criminal matters and are available 24/7.
We attend to all City and Suburban Courts as well as regional and interstate.
First consultation is free. ""","English, Italian",,10,"June 11th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-vince-placanica
Dianne Pinder,Director  ,Pinder Consulting,"QLD, Australia",,German,,,"August 13th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-dianne-pinder
Sykes Pearson Miller Law,Legal Secretary  ,Sykes Pearson Miller Law (SPM Law),"QLD, Australia"," ""SPM Law - Your partners in life & law.""",English,,20,"October 23rd, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-sykes-pearson-miller-law
David Naidoo,Principal  ,David Naidoo & Associates,"VIC, Australia",,English,,25,"September 18th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-david-naidoo
Shivpriya Nanda,  ,J. Sagar Associates,"INDIA, India, Australia",,English,,,"May 16th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-shivpriya-nanda
Aaron Nadel,Practice Manager  ,Mothers in Law Lawyers,"NSW, Australia",,English,,13,"August 29th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-aaron-nadel
Josh Murphy,,,,,English,,,"August 29th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-josh-murphy
Rejinay Singh,Legal Consultant  ,De Silva Legal,"NSW, Australia",,English,,,"May 21st, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-rejinay-singh
Mobeena Singh,Solicitor  ,Koffels Solicitors & Barristers,"NSW, Australia"," ""Mobeena Singh has a specialist practice in compensation law, including state and federal workplace law, medical law, superannuation and insurance law, and general matters of negligence and social justice. She is dedicated to achieving successful outcomes for her clients, while acting on a no win/no fee basis and offering a no obligation initial consultation.""","English, Other",,,"May 8th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-mobeena-singh
Navjot Singh,Casual Solicitor  ,Teddington Legal,"NSW, Australia",,English,,,"May 9th, 2013",2,https:/lawpath.com.au/lawyer-network/lawyer-navjot-singh
Dmitry Shtifelman,Principal  ,Abrahams Meese Lawyers,"VIC, Australia",,Russian,,,"March 14th, 2014",3,https:/lawpath.com.au/lawyer-network/lawyer-dmitry-shtifelman
Hayder Shkara,Solicitor  ,Russell Byrnes Solicitor,"NSW, Australia",,English,,40,"October 18th, 2013",32,https:/lawpath.com.au/lawyer-network/lawyer-hayder-shkara
Joerg Schmidt Liermann,Managing Principal  ,Schmidt-Liermann,"NSW, Australia",,English,,8,"March 27th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-joerg-schmidt-liermann
Robert Scard,Principal  ,"Robert Scard & Associates, Entertainment Lawyers","NSW, Australia",,English,,,"August 7th, 2014",,https:/lawpath.com.au/lawyer-network/lawyer-robert-scard
Nick Stevens,Principal  ,Stevens & Associates Lawyers,"NSW, I am also admitted as a solicitor in England and Wales , Australia"," ""Our Mission is to provide our clients with a ""Vision"" in the workplace. This Vision is delivered to clients in a timely and professional manner, by way of practical solutions and strategies in all aspects of industrial relations and employment law.""",English,,20,"May 17th, 2013",5,https:/lawpath.com.au/lawyer-network/lawyer-nick-stevens
Jarred Stein,Director/Registered M Igration Agent  ,KWS Migration,"NSW, Australia",,"English, Mandarin, Cantonese, Portugese / Brasilero, German",,,"June 11th, 2014",2,https:/lawpath.com.au/lawyer-network/lawyer-jarred-stein
Erin Steiner,Principal Solicitor  ,Steiner Legal,"NSW, Australia",,English,,6,"July 17th, 2013",4,https:/lawpath.com.au/lawyer-network/lawyer-erin-steiner
Michael Sobey,Managing Partner  ,Sykes Pearson Miller Law (SPM Law),"QLD, Australia"," ""Michael specialises in retail and commercial leasing, management rights, body corporate, commercial property, business sales, and business structuring.""",English,,20,"May 30th, 2014",1,https:/lawpath.com.au/lawyer-network/lawyer-michael-sobey
Michael Solari,  ,Solari & Stock,"NSW, Australia",,English,,,"February 15th, 2013",1,https:/lawpath.com.au/lawyer-network/lawyer-michael-solari
Keith Spencer,Director  ,Spencer & Co Legal ,"NSW, Australia",,English,,29,"July 9th, 2013",,https:/lawpath.com.au/lawyer-network/lawyer-keith-spencer
Ryan Thomas,Partner   ,Andersons Solicitors ,"SA, Australia",,English,,9,"June 25th, 2013",14,https:/lawpath.com.au/lawyer-network/lawyer-ryan-thomas
